inning,top_or_bottom,atbat_num_within_game,batter_name,batter_team,stand,pitcher_name,pitcher_team,p_throws,home_team_runs,away_team_runs,pitch_type_name,pitch_type_confidence,balls,strikes,last_pitch_in_atbat,pitch_num_within_atbat,break_angle,break_length,break_y,start_speed,end_speed,spin_dir,spin_rate,sz_bot,sz_top,zone,decision
3,bottom,24,Yulieski Gurriel,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,2,0,changeup,0.952,1,0,0,2,25.5,8.5,23.8,83.6,76.5,253.059,1463.832,1.565,3.411,4,Strike
3,bottom,24,Yulieski Gurriel,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,2,0,sinker,0.939,1,1,1,3,27.6,6.6,23.8,89.8,82.2,240.651,2071.915,1.565,3.411,6,Strike
4,top,25,Benjamin Gamel,Seattle Mariners,L,Brad Peacock,Houston Astros,R,2,0,knuckle curveball,0.61,0,0,0,1,-6.6,13.3,23.8,78.3,72.1,23.109,2441.716,1.513,3.319,7,Strike
4,top,25,Benjamin Gamel,Seattle Mariners,L,Brad Peacock,Houston Astros,R,2,0,two-seam fastball,0.925,0,1,0,2,35.9,5.5,23.8,91.9,83.7,233.26,2299.038,1.513,3.319,11,Ball
4,top,25,Benjamin Gamel,Seattle Mariners,L,Brad Peacock,Houston Astros,R,2,0,slider,0.955,1,1,0,3,-11.3,8.7,23.9,82.3,75.9,105.957,2561.566,1.513,3.319,4,Strike
4,top,25,Benjamin Gamel,Seattle Mariners,L,Brad Peacock,Houston Astros,R,2,0,knuckle curveball,0.965,1,2,0,4,-7.8,14,23.8,77.3,71,25.59,2415.773,1.513,3.319,11,Strike
4,top,25,Benjamin Gamel,Seattle Mariners,L,Brad Peacock,Houston Astros,R,2,0,two-seam fastball,0.932,1,2,1,5,37.4,6.5,23.8,92.3,84.4,245.188,2266.447,1.513,3.319,11,Strike
4,top,26,Robinson Cano,Seattle Mariners,L,Brad Peacock,Houston Astros,R,2,0,two-seam fastball,0.927,0,0,0,1,37.6,7.5,23.8,92.2,84.7,255.487,2264.266,1.513,3.319,11,Strike
4,top,26,Robinson Cano,Seattle Mariners,L,Brad Peacock,Houston Astros,R,2,0,four-seam fastball,0.884,0,1,0,2,45.2,4.9,23.7,94.1,85.1,226.963,2277.178,1.513,3.319,2,Strike
4,top,26,Robinson Cano,Seattle Mariners,L,Brad Peacock,Houston Astros,R,2,0,slider,0.91,0,2,0,3,-6.2,14.3,23.9,79,73.6,17.523,2634.293,1.513,3.319,14,Ball
4,top,26,Robinson Cano,Seattle Mariners,L,Brad Peacock,Houston Astros,R,2,0,two-seam fastball,0.932,1,2,0,4,43.5,7,23.8,93.2,85.6,247.486,2320.312,1.513,3.319,14,Ball
4,top,26,Robinson Cano,Seattle Mariners,L,Brad Peacock,Houston Astros,R,2,0,slider,0.921,2,2,1,5,-9.8,6.5,23.9,84.6,78.5,156.597,2719.567,1.513,3.319,4,Strike
4,top,27,Nelson Cruz,Seattle Mariners,R,Brad Peacock,Houston Astros,R,2,0,slider,0.95,0,0,0,1,-4.9,7.2,23.9,84,77.9,160.285,2518.697,1.535,3.371,8,Strike
4,top,27,Nelson Cruz,Seattle Mariners,R,Brad Peacock,Houston Astros,R,2,0,slider,0.917,0,1,0,2,-18.8,7.3,23.8,82.7,75.8,130.754,,1.535,3.371,3,Strike
4,top,27,Nelson Cruz,Seattle Mariners,R,Brad Peacock,Houston Astros,R,2,0,slider,0.731,0,2,0,3,-13.9,11.6,23.8,78.7,72.5,63.218,2717.07,1.535,3.371,14,Ball
4,top,27,Nelson Cruz,Seattle Mariners,R,Brad Peacock,Houston Astros,R,2,0,slider,0.943,1,2,0,4,-15.7,7.8,23.8,83.5,76.9,124.581,,1.535,3.371,14,Ball
4,top,27,Nelson Cruz,Seattle Mariners,R,Brad Peacock,Houston Astros,R,2,0,four-seam fastball,0.888,2,2,0,5,40.7,4.8,23.8,94.3,86.3,224.866,2321.527,1.535,3.371,7,Strike
4,top,27,Nelson Cruz,Seattle Mariners,R,Brad Peacock,Houston Astros,R,2,0,two-seam fastball,0.928,2,2,0,6,36.6,8.1,23.8,92.5,85.3,263.482,2303.271,1.535,3.371,4,Strike
4,top,27,Nelson Cruz,Seattle Mariners,R,Brad Peacock,Houston Astros,R,2,0,two-seam fastball,0.936,2,2,1,7,39.1,7.4,23.8,92.7,84.9,254.691,,1.535,3.371,6,Strike
4,bottom,28,Marwin Gonzalez,Houston Astros,L,Samuel Gaviglio,Seattle Mariners,R,2,0,curveball,0.909,0,0,0,1,-5.6,12.3,23.8,77.9,71.7,29.932,2245.871,1.565,3.411,11,Ball
4,bottom,28,Marwin Gonzalez,Houston Astros,L,Samuel Gaviglio,Seattle Mariners,R,2,0,sinker,0.927,1,0,1,2,31.4,7.3,23.8,88.1,80.7,246.772,2102.173,1.565,3.411,2,Strike
4,bottom,29,Evan Gattis,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,2,0,sinker,0.878,0,0,0,1,32.9,8.1,23.8,87.2,79.8,252.56,1996.632,1.627,3.549,7,Strike
4,bottom,29,Evan Gattis,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,2,0,changeup,0.982,0,1,0,2,25,9.4,23.8,82.6,75.7,261.879,1469.041,1.627,3.549,13,Strike
4,bottom,29,Evan Gattis,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,2,0,slider,0.909,0,2,1,3,-2.4,8,23.8,83.6,77.1,172.151,2037.221,1.627,3.549,14,Strike
4,bottom,30,Nori Aoki,Houston Astros,L,Samuel Gaviglio,Seattle Mariners,R,3,0,sinker,0.882,0,0,0,1,27,7.1,23.8,87.4,80.1,241.516,2010.854,1.627,3.549,11,Ball
4,bottom,30,Nori Aoki,Houston Astros,L,Samuel Gaviglio,Seattle Mariners,R,3,0,sinker,0.887,1,0,0,2,29.9,7.6,23.8,87.1,79.5,248.4,2041.957,1.627,3.549,1,Ball
4,bottom,30,Nori Aoki,Houston Astros,L,Samuel Gaviglio,Seattle Mariners,R,3,0,sinker,0.918,2,0,0,3,31.6,5.8,23.7,88.2,79.7,226.652,2100.91,1.627,3.549,12,Strike
4,bottom,30,Nori Aoki,Houston Astros,L,Samuel Gaviglio,Seattle Mariners,R,3,0,curveball,0.886,2,1,0,4,-3.6,11.6,23.9,78.2,72.2,22.255,2176.058,1.627,3.549,14,Ball
4,bottom,30,Nori Aoki,Houston Astros,L,Samuel Gaviglio,Seattle Mariners,R,3,0,slider,0.869,3,1,1,5,0.5,9.5,23.9,81.5,75.8,336.068,2130.72,1.627,3.549,8,Strike
4,bottom,31,Alex Bregman,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,3,0,slider,0.909,0,0,0,1,-0.5,9.2,23.9,81.9,75.6,356.282,2090.587,1.535,3.371,12,Ball
4,bottom,31,Alex Bregman,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,3,0,slider,0.882,1,0,0,2,6.6,7.7,23.8,83.8,77.1,219.805,2101.313,1.535,3.371,9,Ball
4,bottom,31,Alex Bregman,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,3,0,slider,0.888,2,0,0,3,-1.8,9.2,23.9,81,74.8,79.515,2189.323,1.535,3.371,12,Strike
4,bottom,31,Alex Bregman,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,3,0,changeup,0.985,2,1,0,4,27.4,8.4,23.8,83.5,77.1,249.02,1582.903,1.535,3.371,14,Ball
4,bottom,31,Alex Bregman,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,3,0,sinker,0.888,3,1,0,5,28.3,6.9,23.8,87.4,79.6,237.934,2079.709,1.535,3.371,9,Strike
4,bottom,31,Alex Bregman,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,3,0,slider,0.904,3,2,0,6,0.8,8.4,23.9,83.4,77.3,213.21,2122.157,1.535,3.371,5,Strike
4,bottom,31,Alex Bregman,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,3,0,sinker,0.92,3,2,1,7,30.1,8.8,23.8,87.7,80.4,263.619,2188.113,1.535,3.371,8,Strike
4,bottom,32,George Springer,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,4,0,sinker,0.934,0,0,0,1,35.6,7.7,23.7,88.7,79.9,250.267,2043.942,1.535,3.371,2,Strike
4,bottom,32,George Springer,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,4,0,slider,0.91,0,1,0,2,-5.4,10.1,23.8,80.8,73.4,56.043,2168.26,1.535,3.371,2,Strike
4,bottom,32,George Springer,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,4,0,curveball,0.74,0,2,1,3,-4.7,12.1,23.8,78.3,71.8,24.2,2117.193,1.535,3.371,4,Strike
4,bottom,33,Jose Altuve,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,4,0,slider,0.897,0,0,0,1,3.1,7.5,23.8,84.3,76.6,203.991,2198.662,1.448,3.104,14,Ball
4,bottom,33,Jose Altuve,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,4,0,sinker,0.909,1,0,0,2,33,8.6,23.7,87.9,79.2,256.259,2158.212,1.448,3.104,13,Strike
4,bottom,33,Jose Altuve,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,4,0,changeup,0.92,1,1,0,3,25.1,10.2,23.8,83.2,76.8,274.147,1412.487,1.448,3.104,8,Strike
